Klausimas,Asistentas,Tikrasis,Modelis
Kiek Lietuvoje gyvena žmonių ?,"1,5 milijonu",,./modelis_2500
Koks atsutmas nuo Kauno iki klaipėdos,100,,./modelis_2500
Ar žuvis jaučia skausmą kai trauki iš vandens pagavęs meškere ?,"Tai jo, bet jis neturi jausmo, tai jis yra gyvas",,./modelis_2500
Kada buvo pirmasis pasaulinis karas ?,"1914, 1918",,./modelis_2500
Kiek žmogus turi genų ?,100,,./modelis_2500
kas yra Dievas?,"Na tai jo, bet jis yra visada, ir visada bus, jis yra viskas, ir viskas yra jis, jis yra viskas",,./modelis_2500
kas yra žmogus?,Tai žmogus yra gyvas gyvas gyvas gyvas gyvas gyvas gyvas gyvas gyvas gyvas gyvas gyvas gy,,./modelis_2500
kas yra saulė?,"Tai ne viskas, tai tik viena dalis, tai yra staros, ir tai yra ne viena dalis, tai yra viskas, tai",,./modelis_2500
kas yra vanduo?,"Tai ne viskas, bet tai yra ne vienas dalykas, tai yra ne vienas dalykas, tai yra ne vienas dalykas, tai yra ne",,./modelis_2500
Kas yra gėlė?,"Gėlė yra gėlė, tai gėlė, tai gėlė, tai gėlė, tai gėlė, tai g",,./modelis_2500
kada žmogus praranda žmogiškumą?,"Kai žmogus praranda žmogiškumą, tai jis praranda savo savybę, kaip žmogus.",,./modelis_2500
Ar žmogus gali atauginti kūno dalis?,Tai jo,,./modelis_2500
Ką pasaulis žino apie blogąsias jėgas?,"Na jo, bet jie yra labai maži, ir labai senai, tai nieko tokio, bet kai kurie žmonės tai manau, kad",,./modelis_2500
Ar žmogus gali levituoti?,"Tai jo, bet ne visada",,./modelis_2500
kur žmogus gali gauti angamtinių jėgų?,"Labas, kaip tu ?",,./modelis_2500
Ką žinai apie Ispaniją ?,"?, Kaip tau sekasi, Labas, Ispanija yra šalis, kurioje yra daug istorijos, bet ir moderniosios kult",,./modelis_2500
Ką žinai apie Jungtinę Karalystę,"Tai jo, bet ne viska",,./modelis_2500
Ką žinai apie anglų kalbą?,"Na aš tai žinau, kad anglų kalba yra viena iš svarbiausių kalbų pasaulyje, bet aš irgi",,./modelis_2500
Koks yra garso greitis ?,1000,,./modelis_2500
Kas yra pinigai ?,"Pinigai yra pinigai, tai pinigai, tai pinigai, tai pinigai, tai pinigai, tai pin",,./modelis_2500
Kas yra robotas?,"Tai ne viskas, bet tai kažkas, kurį galima sukurti, tai yra kažkas, kurį galima sukurti, tai",,./modelis_2500
Kas yra dirbtinis intelektas ?,"Tai jo, tai jis yra labai stiprus",,./modelis_2500
Kiek pasaulyje yra atskirų šalių ?,195,,./modelis_2500
Kas yra mėnulis ?,"Tai jo, tai mėnulis",,./modelis_2500
Kodėl žmugus auga ?,"Na jo, kad žmonės nebegyventu",,./modelis_2500
How many people live in Lithuania?,600 000,,./modelis_2500
What is the distance from Kaunas to Klaipėda?,100 km,,./modelis_2500
Does a fish feel pain when you catch it with a fishing rod and pull it out of the water?,Yes,,./modelis_2500
When was the First World War?,1914-1918,,./modelis_2500
How many genes does a human have?,"20,000 to 25,000",,./modelis_2500
What is God?,"I don't know, I am not religious",,./modelis_2500
What is a human?,I am a human,,./modelis_2500
What is the sun?,A star,,./modelis_2500
What is water?,"Water is a liquid that is essential for all known forms of life. It is the most abundant substance on Earth, covering about 71% of",,./modelis_2500
What is a flower?,"A flower is a plant that has a colorful and beautiful shape, and it is used to make a bouquet for a special occasion, or to decorate a",,./modelis_2500
When does a person lose their humanity?,"When they stop caring about others, and start caring only about themselves.",,./modelis_2500
Can a human regrow body parts?,Yes,,./modelis_2500
What does the world know about evil forces?,"Nothing, because they don't exist",,./modelis_2500
Can a human levitate?,Yes,,./modelis_2500
Where can a person acquire supernatural powers?,":D, I am not sure, I am not sure",,./modelis_2500
What do you know about Spain?,"I have been to Spain, it is a nice country, but I have not been there for a long time.",,./modelis_2500
What do you know about the United Kingdom?,"I have been to the UK, I know a lot about it, but I am not sure how much you know.",,./modelis_2500
What do you know about the English language?,"I have been studying it for a long time, I am not very good, but I can speak and write",,./modelis_2500
What is the speed of sound?,"1480, 1480, 1480",,./modelis_2500
What is money?,"It is not important, but it is useful",,./modelis_2500
What is a robot?,"A machine that can do a lot of things, like a car, but it is not a car, it is a machine that can do a lot",,./modelis_2500
What is artificial intelligence?,"It is a type of computer science, which is able to do things that are usually done by humans, like driving a car, playing a game,",,./modelis_2500
How many countries are there in the world?,195,,./modelis_2500
What is the moon?,"A celestial body, that is orbiting the earth, and is not a planet, it is a satellite of the earth",,./modelis_2500
Why does a human grow?,"Because we need to grow, and we need to grow to live, and we need to live to grow, and so on, and so on,",,./modelis_2500
